ItemParentID,ItemParentName,ItemID,ItemCode,ItemName,QuantityID,QuantityCode,cqty,qtyori,CQuantityID,CQuantityCode,Stock,StockInPcs,InventoryID,InventoryName,StockRate,PurchasePrice,SellPrice,Currency,GroupName,Size,Color,Weight,Length,Breadth,Height,Remarks
33,ABBI MUSLIM FASHION,92677,T033ABIKO23007,T033-AKHTAR SERIES BIRU MUDA L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,BIRU MUDA,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,92676,T033ABIKO23006,T033-AKHTAR SERIES BIRU MUDA M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,BIRU MUDA,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,92675,T033ABIKO23005,T033-AKHTAR SERIES BIRU MUDA S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,BIRU MUDA,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,92678,T033ABIKO23008,T033-AKHTAR SERIES BIRU MUDA XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,BIRU MUDA,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100462,T033ABIKO23015,T033-AKHTAR SERIES DARK GREY L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,68603,3316112323,T033-AKHTAR SERIES DARK GREY L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,57205,T03316112323,T033-AKHTAR SERIES DARK GREY L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,DARK GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,57203,T03316112322,T033-AKHTAR SERIES DARK GREY M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,DARK GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,68604,3316112322,T033-AKHTAR SERIES DARK GREY M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,130412,T033ABIKO23014,T033-AKHTAR SERIES DARK GREY M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,130414,T033ABIKO23013,T033-AKHTAR SERIES DARK GREY S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,68605,3316112321,T033-AKHTAR SERIES DARK GREY S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,57204,T03316112321,T033-AKHTAR SERIES DARK GREY S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,DARK GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,57200,T03316112324,T033-AKHTAR SERIES DARK GREY XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,DARK GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,68602,3316112324,T033-AKHTAR SERIES DARK GREY XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100460,T033ABIKO23016,T033-AKHTAR SERIES DARK GREY XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,DARK GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100466,T033ABIKO23011,T033-AKHTAR SERIES LIGHT GREY L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,68607,3316112319,T033-AKHTAR SERIES LIGHT GREY L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,57202,T03316112319,T033-AKHTAR SERIES LIGHT GREY L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,LIGHT GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,57207,T03316112318,T033-AKHTAR SERIES LIGHT GREY M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,LIGHT GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,68608,3316112318,T033-AKHTAR SERIES LIGHT GREY M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100468,T033ABIKO23010,T033-AKHTAR SERIES LIGHT GREY M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100470,T033ABIKO23009,T033-AKHTAR SERIES LIGHT GREY S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,68609,3316112317,T033-AKHTAR SERIES LIGHT GREY S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,57206,T03316112317,T033-AKHTAR SERIES LIGHT GREY S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,LIGHT GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,57201,T03316112320,T033-AKHTAR SERIES LIGHT GREY XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,LIGHT GREY,0.00,0.00,0.00,0.00,2023
33,ABBI MUSLIM FASHION,68606,3316112320,T033-AKHTAR SERIES LIGHT GREY XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100464,T033ABIKO23012,T033-AKHTAR SERIES LIGHT GREY XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,LIGHT GREY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,92673,T033ABIKO23003,T033-AKHTAR SERIES NAVY L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,L,NAVY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,92672,T033ABIKO23002,T033-AKHTAR SERIES NAVY M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,M,NAVY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,92671,T033ABIKO23001,T033-AKHTAR SERIES NAVY S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,S,NAVY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,92674,T033ABIKO23004,T033-AKHTAR SERIES NAVY XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,311000.00,Rp,ABBI MUSLIM FASHION,XL,NAVY,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,61953,T03329122115,T033-AMMAR SERIES ABU L,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,-,,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,61954,T03329122114,T033-AMMAR SERIES ABU M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,-,,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100356,T033ABIKO24074,T033-AMMAR SERIES ABU M,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,M,ABU,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100358,T033ABIKO24073,T033-AMMAR SERIES ABU S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,S,ABU,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,61955,T03329122113,T033-AMMAR SERIES ABU S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,-,,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,61952,T03329122116,T033-AMMAR SERIES ABU XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,-,,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100364,T033ABIKO24069,T033-AMMAR SERIES BIRU MUDA ALL SIZE,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,ALL SIZE,BIRU MUDA,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100362,T033ABIKO24070,T033-AMMAR SERIES BIRU MUDA S,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,S,BIRU MUDA,0.00,0.00,0.00,0.00,-
33,ABBI MUSLIM FASHION,100360,T033ABIKO24071,T033-AMMAR SERIES BIRU MUDA XL,1,Pcs,1,1,0,Pcs,0,0,0,,0,0.00,365000.00,Rp,ABBI MUSLIM FASHION,XL,BIRU MUDA,0.00,0.00,0.00,0.00,-
